Event,City,date,Discipline,Rank,Athlete
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",ChongqingWC,2017-04-23,boulder,15,Meichi Narasaki
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,MeiringenWC,2017-04-08,boulder,19,Meichi Narasaki
IFSC World Youth Championships - Guangzhou (CHN) - 2016,WYCH Guangzhou,2016-11-13,lead,6,Meichi Narasaki
IFSC World Youth Championships - Guangzhou (CHN) - 2016,WYCH Guangzhou,2016-11-13,boulder,14,Meichi Narasaki
IFSC Climbing World Championships - Paris (FRA) 2016,WCH Paris,2016-09-18,lead,29,Meichi Narasaki
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,BriançonWC,2016-07-23,lead,10,Meichi Narasaki
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",VillarsWC,2016-07-16,lead,42,Meichi Narasaki
"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",ChamonixWC,2016-07-12,lead,26,Meichi Narasaki
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,KazoWC,2016-04-24,boulder,25,Meichi Narasaki
"IFSC World Youth Championship - Noumea, New Caledonia (FRA) - 2014",WYCH Noumea,2014-09-23,lead,4,Meichi Narasaki
Asian Youth Championship - Surabaya (INA) 2013,Asian_Youth_Chp_13,2013-12-14,lead,2,Meichi Narasaki
Olympic Qualifier Series Shanghai 2024,Shanghai,2024-05-19,boulder&lead,1,Dohyun Lee
IFSC World Cup Wujiang 2024,Wujiang,2024-04-14,lead,16,Dohyun Lee
IFSC World Cup Keqiao 2024,Keqiao,2024-04-10,boulder,13,Dohyun Lee
IFSC Asian Qualifier Jakarta 2023,Jakarta,2023-11-12,boulder&lead,3,Dohyun Lee
IFSC World Championships Bern 2023,Bern,2023-08-12,boulder&lead,7,Dohyun Lee
IFSC World Championships Bern 2023,Bern,2023-08-12,boulder,3,Dohyun Lee
IFSC World Championships Bern 2023,Bern,2023-08-12,lead,4,Dohyun Lee
IFSC World Cup Chamonix 2023,Chamonix,2023-07-09,lead,8,Dohyun Lee
IFSC World Cup Innsbruck 2023,Innsbruck,2023-06-18,lead,25,Dohyun Lee
IFSC World Cup Innsbruck 2023,Innsbruck,2023-06-18,boulder,14,Dohyun Lee
IFSC World Cup Brixen 2023,Brixen,2023-06-11,boulder,2,Dohyun Lee
IFSC World Cup Prague 2023,Prague,2023-06-04,boulder,1,Dohyun Lee
IFSC World Cup Salt Lake City 2023,Salt Lake City,2023-05-22,boulder,39,Dohyun Lee
IFSC World Cup Seoul 2023,Seoul,2023-04-30,boulder,4,Dohyun Lee
IFSC World Cup Hachioji 2023,Hachioji,2023-04-23,boulder,7,Dohyun Lee
"IFSC Asia - Continental Championships (B, L, S, B&L) - Republic of Korea 2022",Seoul,2022-10-16,boulder&lead,3,Dohyun Lee
"IFSC Asia - Continental Championships (B, L, S, B&L) - Republic of Korea 2022",Seoul,2022-10-16,boulder,13,Dohyun Lee
"IFSC Asia - Continental Championships (B, L, S, B&L) - Republic of Korea 2022",Seoul,2022-10-16,lead,25,Dohyun Lee
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",Jakarta,2022-09-26,lead,6,Dohyun Lee
"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",Edinburgh,2022-09-11,lead,17,Dohyun Lee
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,Koper,2022-09-03,lead,15,Dohyun Lee
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",Chamonix,2022-07-10,lead,12,Dohyun Lee
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",Villars-sur-Ollon,2022-07-02,lead,13,Dohyun Lee
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022",Innsbruck,2022-06-26,boulder,2,Dohyun Lee
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022",Innsbruck,2022-06-26,lead,43,Dohyun Lee
