Event,City,date,Discipline,Rank,Athlete
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",Salt Lake City,2021-05-31,boulder,27,Mickael Mawem
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Salt Lake City,2021-05-23,boulder,10,Mickael Mawem
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Meiringen,2021-04-17,boulder,35,Mickael Mawem
ANOC World Beach Games (B) - Doha (QAT),BG19,2019-10-14,boulder,5,Mickael Mawem
European Championship (B) - Zakopane (POL) 2019,PolandECH,2019-09-07,boulder,1,Mickael Mawem
IFSC Climbing World Championships - Hachioji (JPN) 2019,WCH Hachioji,2019-08-21,lead,50,Mickael Mawem
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,WCH Combined,2019-08-21,combined,7,Mickael Mawem
IFSC Climbing World Championships - Hachioji (JPN) 2019,WCH Hachioji,2019-08-21,speed,21,Mickael Mawem
IFSC Climbing World Championships - Hachioji (JPN) 2019,WCH Hachioji,2019-08-21,boulder,23,Mickael Mawem
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,BriançonWC,2019-07-20,lead,63,Mickael Mawem
"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",ChamonixWC,2019-07-13,speed,21,Mickael Mawem
"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",ChamonixWC,2019-07-13,lead,30,Mickael Mawem
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2019",VillarsWC,2019-07-06,speed,48,Mickael Mawem
IFSC Climbing Worldcup (B) - Vail (USA) 2019,VailWC,2019-06-08,boulder,31,Mickael Mawem
IFSC Climbing Worldcup (B) - Munich (GER) 2019,MunichWC,2019-05-19,boulder,31,Mickael Mawem
"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",WujiangWC,2019-05-05,boulder,71,Mickael Mawem
"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",WujiangWC,2019-05-05,speed,23,Mickael Mawem
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",ChongqingWC,2019-04-28,boulder,9,Mickael Mawem
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",ChongqingWC,2019-04-28,speed,76,Mickael Mawem
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",MoscowWC,2019-04-14,speed,23,Mickael Mawem
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",MoscowWC,2019-04-14,boulder,18,Mickael Mawem
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,MeiringenWC,2019-04-06,boulder,27,Mickael Mawem
International Climbing Series - China Open - Guangzhou (CHN) 2018,China_Open_18,2018-11-18,lead,6,Mickael Mawem
International Climbing Series - China Open - Guangzhou (CHN) 2018,China_Open_18,2018-11-18,boulder,1,Mickael Mawem
International Climbing Series - China Open - Guangzhou (CHN) 2018,China_Open_18,2018-11-18,speed,6,Mickael Mawem
International Climbing Series - China Open Semifinals & Finals - Guanzhou (CHN) 2018,China_Open_Q,2018-11-17,lead,14,Mickael Mawem
International Climbing Series - China Open Semifinals & Finals - Guanzhou (CHN) 2018,China_Open_Q,2018-11-17,speed,14,Mickael Mawem
International Climbing Series - China Open Semifinals & Finals - Guanzhou (CHN) 2018,China_Open_Q,2018-11-17,boulder,8,Mickael Mawem
IFSC Climbing World Championships - Innsbruck (AUT) 2018,WCH Innsbruck,2018-09-16,combined,7,Mickael Mawem
IFSC Climbing World Championships - Innsbruck (AUT) 2018,WCH Innsbruck,2018-09-16,speed,24,Mickael Mawem
IFSC Climbing World Championships - Innsbruck (AUT) 2018,WCH Innsbruck,2018-09-16,lead,55,Mickael Mawem
IFSC Climbing World Championships - Innsbruck (AUT) 2018,WCH Innsbruck,2018-09-16,boulder,11,Mickael Mawem
IFSC Climbing Worldcup (B) - Munich (GER) 2018,MunichWC,2018-08-18,boulder,6,Mickael Mawem
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",ArcoWC,2018-07-28,speed,36,Mickael Mawem
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",ArcoWC,2018-07-28,lead,60,Mickael Mawem
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",ChamonixWC,2018-07-13,lead,98,Mickael Mawem
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",ChamonixWC,2018-07-13,speed,26,Mickael Mawem
IFSC Climbing Worldcup (B) - Vail (USA) 2018,VailWC,2018-06-09,boulder,11,Mickael Mawem
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,TokyoWC,2018-06-03,boulder,7,Mickael Mawem
"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018",TaianWC,2018-05-13,speed,29,Mickael Mawem
"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018",TaianWC,2018-05-13,boulder,21,Mickael Mawem
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",ChongqingWC,2018-05-06,speed,28,Mickael Mawem
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",ChongqingWC,2018-05-06,boulder,20,Mickael Mawem
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",MoscowWC,2018-04-22,boulder,49,Mickael Mawem
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2018,MeiringenWC,2018-04-14,boulder,14,Mickael Mawem
European Championship (B) - Munich (GER) 2017,MunichECH,2017-08-19,boulder,17,Mickael Mawem
IFSC Climbing Worldcup (B) - Munich (GER) 2017,MunichWC,2017-08-19,boulder,18,Mickael Mawem
The World Games 2017 - Wroclaw (POL) 2017,WG_2017,2017-07-23,boulder,4,Mickael Mawem
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",TokyoWC,2017-05-07,boulder,4,Mickael Mawem
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",NanjingWC,2017-04-30,boulder,33,Mickael Mawem
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",ChongqingWC,2017-04-23,boulder,29,Mickael Mawem
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,MeiringenWC,2017-04-08,boulder,16,Mickael Mawem
IFSC Climbing World Championships - Paris (FRA) 2016,WCH Paris,2016-09-18,boulder,4,Mickael Mawem
IFSC Climbing Worldcup (B) - Munich (GER) 2016,MunichWC,2016-08-13,boulder,5,Mickael Mawem
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016,TyrolWC,2016-05-21,boulder,9,Mickael Mawem
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",ChongqingWC,2016-05-01,boulder,31,Mickael Mawem
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,KazoWC,2016-04-24,boulder,25,Mickael Mawem
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,MeiringenWC,2016-04-16,boulder,7,Mickael Mawem
IFSC Climbing Worldcup (B) - Munich (GER) 2015,Munich,2015-08-15,boulder,39,Mickael Mawem
IFSC Climbing Worldcup (B) - Vail (USA) 2015,Vail,2015-06-06,boulder,43,Mickael Mawem
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,Toronto15,2015-05-31,boulder,14,Mickael Mawem
European Championship (B) - Innsbruck (AUT) 2015,InnsbruckECH15,2015-05-16,boulder,12,Mickael Mawem
IFSC Climbing Worldcup (B) - Laval (FRA) 2014,Laval,2014-06-28,boulder,20,Mickael Mawem
Olympic Qualifier Series Shanghai 2024,Shanghai,2024-05-19,boulder&lead,8,Sam Avezou
IFSC World Cup Wujiang 2024,Wujiang,2024-04-14,lead,12,Sam Avezou
IFSC World Cup Keqiao 2024,Keqiao,2024-04-10,boulder,5,Sam Avezou
IFSC European Qualifier Laval 2023,Laval,2023-10-29,boulder&lead,3,Sam Avezou
IFSC World Cup Koper 2023,Koper,2023-09-09,lead,7,Sam Avezou
IFSC World Championships Bern 2023,Bern,2023-08-12,lead,12,Sam Avezou
IFSC World Championships Bern 2023,Bern,2023-08-12,boulder&lead,20,Sam Avezou
IFSC World Championships Bern 2023,Bern,2023-08-12,boulder,10,Sam Avezou
IFSC World Cup Chamonix 2023,Chamonix,2023-07-09,lead,2,Sam Avezou
IFSC World Cup Innsbruck 2023,Innsbruck,2023-06-18,lead,32,Sam Avezou
IFSC World Cup Innsbruck 2023,Innsbruck,2023-06-18,boulder,3,Sam Avezou
IFSC World Cup Salt Lake City 2023,Salt Lake City,2023-05-22,boulder,23,Sam Avezou
IFSC World Cup Seoul 2023,Seoul,2023-04-30,boulder,10,Sam Avezou
IFSC World Cup Hachioji 2023,Hachioji,2023-04-23,boulder,23,Sam Avezou
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",Japan,2022-10-22,boulder&lead,21,Sam Avezou
"IFSC Europe - Continental Championships (B,S,L) - Munich (GER) 2022",Munich,2022-08-18,boulder&lead,6,Sam Avezou
"IFSC Europe - Continental Championships (B,S,L) - Munich (GER) 2022",Munich,2022-08-18,lead,23,Sam Avezou
"IFSC Europe - Continental Championships (B,S,L) - Munich (GER) 2022",Munich,2022-08-18,boulder,2,Sam Avezou
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,Briançon,2022-07-23,lead,16,Sam Avezou
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",Chamonix,2022-07-10,lead,6,Sam Avezou
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022",Innsbruck,2022-06-26,boulder,9,Sam Avezou
IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,Brixen,2022-06-12,boulder,23,Sam Avezou
IFSC Europe - Continental Cup (B) - Klagenfurt (AUT) 2022,Klagenfurt,2022-05-21,boulder,1,Sam Avezou
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",Seoul,2022-05-08,boulder,17,Sam Avezou
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2022,Meiringen,2022-04-10,boulder,29,Sam Avezou
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,Ljubljana,2021-09-04,lead,11,Sam Avezou
IFSC - Climbing World Cup (L) - Briançon (FRA) 2021,Briançon,2021-07-18,lead,16,Sam Avezou
IFSC - Climbing World Cup (L) - Chamonix (FRA) 2021,Chamonix,2021-07-13,lead,48,Sam Avezou
IFSC Europe - Continental Cup (B) - Klagenfurt (AUT) 2021,Klagenfurt,2021-04-11,boulder,21,Sam Avezou
IFSC - Climbing World Cup (L) - Briançon (FRA) 2020,Briançon,2020-08-22,lead,12,Sam Avezou
IFSC Youth World Championships -  Arco (ITA) 2019,YWCH Arco,2019-08-31,boulder,10,Sam Avezou
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,BriançonWC,2019-07-20,lead,31,Sam Avezou
"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",ChamonixWC,2019-07-13,speed,35,Sam Avezou
"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",ChamonixWC,2019-07-13,lead,34,Sam Avezou
European Youth Cup (L) - St. Pierre Faucigny (FRA) 2019,St. Pierre Faucigny,2019-06-30,lead,1,Sam Avezou
IFSC Climbing Worldcup (B) - Munich (GER) 2019,MunichWC,2019-05-19,boulder,49,Sam Avezou
European Youth Cup (B) - Graz (AUT) 2019,Graz,2019-05-12,boulder,2,Sam Avezou
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",MoscowWC,2019-04-14,speed,38,Sam Avezou
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",MoscowWC,2019-04-14,boulder,77,Sam Avezou
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,MeiringenWC,2019-04-06,boulder,63,Sam Avezou
IFSC Climbing World Championships - Innsbruck (AUT) 2018,WCH Innsbruck,2018-09-16,boulder,33,Sam Avezou
European Youth Championships (B) - Brussels (BEL) 2018,EYCH_Brussels_18,2018-09-02,boulder,1,Sam Avezou
IFSC Youth World Championships -  Moscow (RUS) 2018,WYCH Central Saanich,2018-08-16,lead,6,Sam Avezou
IFSC Youth World Championships -  Moscow (RUS) 2018,WYCH Central Saanich,2018-08-16,boulder,1,Sam Avezou
IFSC Youth World Championships -  Moscow (RUS) 2018,WYCH Central Saanich,2018-08-16,speed,16,Sam Avezou
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,BriançonWC,2018-07-21,lead,24,Sam Avezou
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",ChamonixWC,2018-07-13,lead,25,Sam Avezou
European Youth Cup (B) - Delft (NED) 2018,EYC_NED_18,2018-06-03,boulder,2,Sam Avezou
European Youth Cup (B) - Graz (AUT) 2018,EYC_Graz_18,2018-04-29,boulder,1,Sam Avezou
"European Youth Cup (L,S) - Voiron (FRA) 2018",EYC_FRA_18,2018-04-08,lead,1,Sam Avezou
European Youth Championship Combined (Youth A) - Saint-Etienne (FRA) 2017,EYCH_St.Etienne_2017,2017-11-26,combined,1,Sam Avezou
"European Youth Championships (L,S) - Perm (RUS) 2017",EYCH_Perm_17,2017-10-01,lead,3,Sam Avezou
"European Youth Championships (L,S) - Perm (RUS) 2017",EYCH_Perm_17,2017-10-01,speed,6,Sam Avezou
European Youth Championships (B) - Slany (CZE) 2017,EYCH_Slany_17,2017-09-16,boulder,5,Sam Avezou
IFSC Youth World Championships - Innsbruck (AUT) - 2017,WYCH Innsbruck,2017-09-10,boulder,23,Sam Avezou
IFSC Youth World Championships - Innsbruck (AUT) - 2017,WYCH Innsbruck,2017-09-10,speed,13,Sam Avezou
IFSC Youth World Championships - Innsbruck (AUT) - 2017,WYCH Innsbruck,2017-09-10,lead,5,Sam Avezou
IFSC Youth World Championships Combined - Innsbruck (AUT) - 2017,YWCH Combined,2017-09-09,combined,1,Sam Avezou
European Youth Cup (B) - Sofia (BUL) 2017,Sofia,2017-08-06,boulder,4,Sam Avezou
IFSC Climbing Worldcup (L) - Briançon (FRA) 2017,BriançonWC,2017-07-29,lead,11,Sam Avezou
European Youth Cup (B) - L'Argentière (FRA) 2017,EYC_Argentiere_17,2017-07-19,boulder,4,Sam Avezou
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",VillarsWC,2017-07-08,lead,50,Sam Avezou
"European Championship (L,S) - Campitello di Fassa (ITA) 2017",CAMPECH17,2017-07-01,lead,18,Sam Avezou
European Youth Cup (L) - Uster (SUI) 2017,EYC_AUT_L_17,2017-06-25,lead,4,Sam Avezou
European Youth Cup (L) - Imst (AUT) 2017,EYC_AUT_L_17,2017-05-28,lead,16,Sam Avezou
European Youth Cup (B) - Soure (POR) 2017,EYC_POR_17,2017-05-21,boulder,3,Sam Avezou
European Youth Cup (S) - Tarnow (POL) 2017,EYC_POL_17,2017-05-13,speed,3,Sam Avezou
European Youth Cup (B) - Graz (AUT) 2017,EYC_Graz_17,2017-04-30,boulder,1,Sam Avezou
IFSC World Youth Championships - Guangzhou (CHN) - 2016,WYCH Guangzhou,2016-11-13,speed,11,Sam Avezou
IFSC World Youth Championships - Guangzhou (CHN) - 2016,WYCH Guangzhou,2016-11-13,boulder,4,Sam Avezou
IFSC World Youth Championships - Guangzhou (CHN) - 2016,WYCH Guangzhou,2016-11-13,lead,1,Sam Avezou
European Youth Cup (S) - Imst (AUT) 2016,EYC_AUT_S_16,2016-09-10,speed,4,Sam Avezou
"European Youth Championships (L,S) - Mitterdorf (AUT) 2016",EYCH_Mitterdorf_16,2016-09-04,speed,6,Sam Avezou
"European Youth Championships (L,S) - Mitterdorf (AUT) 2016",EYCH_Mitterdorf_16,2016-09-04,lead,2,Sam Avezou
European Youth Championships (B) - Langenfeld (AUT) 2016,EYCH_Langenfeld_16,2016-08-06,boulder,1,Sam Avezou
European Youth Cup (B) - L'Argentière (FRA) 2016,EYC_Argentiere_16,2016-07-27,boulder,1,Sam Avezou
European Youth Cup (B) - Warsaw (POL) 2016,EYC_Warsaw_16,2016-07-03,boulder,1,Sam Avezou
European Youth Cup (B) - Graz (AUT) 2016,EYC_Graz_16,2016-06-19,boulder,3,Sam Avezou
European Youth Cup (B) - Soure (POR) 2016,EYC_POR_16,2016-05-08,boulder,3,Sam Avezou
IFSC World Youth Championships - Arco (ITA) - 2015,WYCH Arco,2015-09-06,lead,1,Sam Avezou
European Youth Cup (L) - Mitterdorf (AUT) 2015,MitterdorfEYC15,2015-08-09,lead,4,Sam Avezou
European Youth Championship (B) - L'Argentière la Bessée (FRA) 2015,BEuro Argentiere,2015-07-22,boulder,7,Sam Avezou
European Youth Cup (B) - Laengenfeld (AUT) 2015,LaengenfeldEYC15,2015-07-05,boulder,13,Sam Avezou
"European Youth Championship (L, S) - Edinburgh (GBR) 2015",LSEuro Edin,2015-06-14,lead,5,Sam Avezou
European Youth Cup (L) - Imst (AUT) 2015,ImstEYC15,2015-05-31,lead,6,Sam Avezou
European Youth Cup (L) - Dornbirn (AUT) 2015,DornbirnEYC15,2015-05-10,lead,1,Sam Avezou
IFSC World Cup Salt Lake City 2024,Salt Lake CIty,2024-05-06,boulder,3,Jakob Schubert
IFSC World Cup Keqiao 2024,Keqiao,2024-04-10,boulder,8,Jakob Schubert
IFSC World Championships Bern 2023,Bern,2023-08-12,boulder,12,Jakob Schubert
IFSC World Championships Bern 2023,Bern,2023-08-12,lead,1,Jakob Schubert
IFSC World Championships Bern 2023,Bern,2023-08-12,boulder&lead,1,Jakob Schubert
IFSC World Cup Villars 2023,Villars-sur-Ollon,2023-07-02,lead,1,Jakob Schubert
IFSC World Cup Innsbruck 2023,Innsbruck,2023-06-18,lead,3,Jakob Schubert
IFSC World Cup Innsbruck 2023,Innsbruck,2023-06-18,boulder,17,Jakob Schubert
IFSC World Cup Prague 2023,Prague,2023-06-04,boulder,27,Jakob Schubert
IFSC World Cup Seoul 2023,Seoul,2023-04-30,boulder,23,Jakob Schubert
IFSC World Cup Hachioji 2023,Hachioji,2023-04-23,boulder,27,Jakob Schubert
"IFSC Europe - Continental Championships (B,S,L) - Munich (GER) 2022",Munich,2022-08-18,boulder&lead,1,Jakob Schubert
"IFSC Europe - Continental Championships (B,S,L) - Munich (GER) 2022",Munich,2022-08-18,lead,4,Jakob Schubert
"IFSC Europe - Continental Championships (B,S,L) - Munich (GER) 2022",Munich,2022-08-18,boulder,9,Jakob Schubert
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022",Innsbruck,2022-06-26,boulder,12,Jakob Schubert
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022",Innsbruck,2022-06-26,lead,5,Jakob Schubert
IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,Brixen,2022-06-12,boulder,8,Jakob Schubert
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",Salt Lake City,2022-05-30,boulder,7,Jakob Schubert
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",Salt Lake City,2022-05-23,boulder,6,Jakob Schubert
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2022,Meiringen,2022-04-10,boulder,37,Jakob Schubert
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",Moscow,2021-09-21,boulder,27,Jakob Schubert
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",Moscow,2021-09-21,lead,1,Jakob Schubert
Olympic Games (C) - Tokyo (JPN) 2020,Tokyo,2021-08-06,combined,3,Jakob Schubert
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",Innsbruck,2021-06-26,lead,1,Jakob Schubert
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",Innsbruck,2021-06-26,boulder,14,Jakob Schubert
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Salt Lake City,2021-05-23,boulder,3,Jakob Schubert
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Meiringen,2021-04-17,boulder,23,Jakob Schubert
IFSC Europe - Continental Cup (B) - Klagenfurt (AUT) 2021,Klagenfurt,2021-04-11,boulder,7,Jakob Schubert
IFSC - Climbing World Cup (L) - Briançon (FRA) 2020,Briançon,2020-08-22,lead,3,Jakob Schubert
"European Championship (L,S) - Edinburgh (GBR) 2019",EdinCH19,2019-10-06,lead,7,Jakob Schubert
"European Championship (L,S) - Edinburgh (GBR) 2019",EdinCH19,2019-10-06,speed,32,Jakob Schubert
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019,KranjWC,2019-09-29,lead,7,Jakob Schubert
IFSC Climbing World Championships - Hachioji (JPN) 2019,WCH Hachioji,2019-08-21,boulder,2,Jakob Schubert
IFSC Climbing World Championships - Hachioji (JPN) 2019,WCH Hachioji,2019-08-21,speed,59,Jakob Schubert
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,WCH Combined,2019-08-21,combined,2,Jakob Schubert
IFSC Climbing World Championships - Hachioji (JPN) 2019,WCH Hachioji,2019-08-21,lead,3,Jakob Schubert
"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",ChamonixWC,2019-07-13,speed,60,Jakob Schubert
"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",ChamonixWC,2019-07-13,lead,3,Jakob Schubert
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2019",VillarsWC,2019-07-06,speed,41,Jakob Schubert
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2019",VillarsWC,2019-07-06,lead,14,Jakob Schubert
IFSC Climbing Worldcup (B) - Munich (GER) 2019,MunichWC,2019-05-19,boulder,1,Jakob Schubert
"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",WujiangWC,2019-05-05,boulder,3,Jakob Schubert
"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",WujiangWC,2019-05-05,speed,38,Jakob Schubert
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",ChongqingWC,2019-04-28,speed,40,Jakob Schubert
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",ChongqingWC,2019-04-28,boulder,18,Jakob Schubert
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",MoscowWC,2019-04-14,speed,41,Jakob Schubert
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",MoscowWC,2019-04-14,boulder,27,Jakob Schubert
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,MeiringenWC,2019-04-06,boulder,47,Jakob Schubert
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",XiamenWC,2018-10-28,speed,26,Jakob Schubert
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",XiamenWC,2018-10-28,lead,16,Jakob Schubert
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",Wujiang,2018-10-21,speed,27,Jakob Schubert
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",Wujiang,2018-10-21,lead,2,Jakob Schubert
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,KranjWC,2018-09-30,lead,2,Jakob Schubert
IFSC Climbing World Championships - Innsbruck (AUT) 2018,WCH Innsbruck,2018-09-16,lead,1,Jakob Schubert
IFSC Climbing World Championships Combined - Innsbruck (AUT) 2018,WCH Combined,2018-09-16,combined,1,Jakob Schubert
IFSC Climbing World Championships - Innsbruck (AUT) 2018,WCH Innsbruck,2018-09-16,boulder,10,Jakob Schubert
IFSC Climbing World Championships - Innsbruck (AUT) 2018,WCH Innsbruck,2018-09-16,speed,110,Jakob Schubert
IFSC Climbing Worldcup (B) - Munich (GER) 2018,MunichWC,2018-08-18,boulder,3,Jakob Schubert
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",ArcoWC,2018-07-28,lead,1,Jakob Schubert
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,BriançonWC,2018-07-21,lead,4,Jakob Schubert
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",ChamonixWC,2018-07-13,lead,2,Jakob Schubert
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",ChamonixWC,2018-07-13,speed,53,Jakob Schubert
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018",VillarsWC,2018-07-07,lead,1,Jakob Schubert
"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018",TaianWC,2018-05-13,boulder,12,Jakob Schubert
"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018",TaianWC,2018-05-13,speed,50,Jakob Schubert
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",ChongqingWC,2018-05-06,boulder,4,Jakob Schubert
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",MoscowWC,2018-04-22,speed,50,Jakob Schubert
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",MoscowWC,2018-04-22,boulder,25,Jakob Schubert
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2018,MeiringenWC,2018-04-14,boulder,4,Jakob Schubert
China Open - Guangzhou (CHN) 2017,China_Open_17,2017-11-19,boulder,12,Jakob Schubert
China Open - Guangzhou (CHN) 2017,China_Open_17,2017-11-19,lead,1,Jakob Schubert
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,KranjWC,2017-11-12,lead,1,Jakob Schubert
"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",EdinburghWC,2017-09-24,lead,3,Jakob Schubert
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",ArcoWC,2017-08-26,lead,1,Jakob Schubert
European Championship (B) - Munich (GER) 2017,MunichECH,2017-08-19,combined,2,Jakob Schubert
European Championship (B) - Munich (GER) 2017,MunichECH,2017-08-19,boulder,5,Jakob Schubert
IFSC Climbing Worldcup (B) - Munich (GER) 2017,MunichWC,2017-08-19,boulder,9,Jakob Schubert
"European Championship (L,S) - Campitello di Fassa (ITA) 2017",CAMPECH17,2017-07-01,speed,31,Jakob Schubert
"European Championship (L,S) - Campitello di Fassa (ITA) 2017",CAMPECH17,2017-07-01,lead,3,Jakob Schubert
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2017,MumbaiWC,2017-06-25,boulder,5,Jakob Schubert
IFSC Climbing Worldcup (B) - Vail (USA) 2017,VailWC,2017-06-10,boulder,43,Jakob Schubert
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",TokyoWC,2017-05-07,boulder,5,Jakob Schubert
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",NanjingWC,2017-04-30,boulder,37,Jakob Schubert
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",ChongqingWC,2017-04-23,boulder,8,Jakob Schubert
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,MeiringenWC,2017-04-08,boulder,23,Jakob Schubert
IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,KranjWC,2016-11-27,lead,3,Jakob Schubert
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",XiamenWC,2016-10-23,lead,3,Jakob Schubert
IFSC Climbing World Championships - Paris (FRA) 2016,WCH Paris,2016-09-18,lead,2,Jakob Schubert
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",ArcoWC,2016-08-27,lead,2,Jakob Schubert
IFSC Climbing Worldcup (L) - Imst (AUT) 2016,ImstWC,2016-08-20,lead,2,Jakob Schubert
IFSC Climbing Worldcup (B) - Munich (GER) 2016,MunichWC,2016-08-13,boulder,14,Jakob Schubert
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,BriançonWC,2016-07-23,lead,8,Jakob Schubert
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",VillarsWC,2016-07-16,lead,6,Jakob Schubert
"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",ChamonixWC,2016-07-12,lead,3,Jakob Schubert
